about,awards,certifications,contractor_id,id,name,phone,review_count,review_score,reviews_count,state_license_number,url,website,years_in_business
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1141909,0,US Roofing & Siding Inc,(609) 657-4366,54,5,3,13VH12531900,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/matawan/us-roofing-siding-inc-1141909,https://usroofingsidinginc.com/,In business since 2015
"Matute Roofing is a family owned and operated roofing company with over 20 years experience Matute Roofing is Licensed and fully insured  Matute Roofing is committed  to providing 
you with the finest products ,skilled workmanship and courteous service We are the honest dependable and reliable you can TRUST","Award
President's Club Award; President's Club Award
GAF entrusts a select few Master Elite® contractors as President’s Club status, showing excellence in performance, reliability, and service --- signifying a commitment to installing roofing systems that qualify for GAF’s best warranties.","GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1113654,1,Matute Roofing,(973) 840-7163,417,5,3,13VH10366000,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/wayne/matute-roofing-1113654,https://www.matuteroofing.com/,In business since 2009
"At Preferred Exterior our reputation is backed by four decades of experience. We are a family owned and operated establishment specializing in commercial, industrial, and residential roofing and siding. Our work goes beyond professionalism; our reputation has been built on knowledge, craftsmanship and integrity.

We at Preferred Exterior are certified installers of all major manufacturers roofing and siding products. We are a fully licensed and insured establishment with certificates of liability and workers compensation available upon request.             

Job References Available upon request.

Residential Roofing & Siding Specialists

Re-Roofing
Complete Roof Removals & Cleanups
GAF MASTER ELITE INSTALLERS        *Special manufacturers warranties with all work*
Custom facbriacted Copper & Aluminum Roofing
Vinyl & James Hardie Siding, Shakes, Soffit & Trim
Seamless Gutters & Leaders
Replacement Windows
Skylights
Ventilation Systems

Flat Roof Specialists

Removal and replacement
Re-roofing
Manufacturer No Dollar Limit Warranties ( NDL Warranties cover labor & material )
Approved applicators of all major manufacturers ( Carlisle, Firestone, GAF, JM & Versico )
Single Ply: EPDM & TPO
Hot tar Built-Up
Tapered Roof Systems
Modified Rubberized Roof Systems
Roof Coatings

Master Elite # ME18626                               

Nassau County License # H2704580000

Suffolk County License# 44672-H
 
Registered with Better Business Bureau & Consumer Affairs","Award
President's Club Award; President's Club Award
GAF entrusts a select few Master Elite® contractors as President’s Club status, showing excellence in performance, reliability, and service --- signifying a commitment to installing roofing systems that qualify for GAF’s best warranties.","GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1004859,2,Preferred Exterior Corp,(516) 549-5326,47,5,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/new-hyde-park/preferred-exterior-corp-1004859,https://www.preferredexterior.com/,In business since 1969
"Since its founding in 1996, Allied Brothers Home Corporation has become one of the largest and fastest-growing companies in New Jersey’s tri-state area. Our service area has completed hundreds of commercial and residential roofing, gutter, siding, window, and door projects. The quality of our craftsmanship has earned us outstanding ratings and positive reviews from our customers. Whether you’re looking for help with something minor or need an experienced professional to take on a larger scale project, we can handle it all. We offer top-notch work at fair and competitive prices. Contact us today for a free quote.","Award
President's Club Award; President's Club Award
GAF entrusts a select few Master Elite® contractors as President’s Club status, showing excellence in performance, reliability, and service --- signifying a commitment to installing roofing systems that qualify for GAF’s best warranties.","GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1116285,3,Allied Brothers Home Corporation,(973) 566-3007,191,4.9,3,13VH08476800,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/wayne/allied-brothers-home-corporation-1116285,https://alliedbrothers.net/,
"Jersey Roofing LLC is family owned since 1984,  with over 39 years of experience. 
6 Gold Award Winner's in 2018, 2019, 2020, 20212022 and 2023. 
Licensed and Fully Insured, our company is committed to providing you with the finest products, skilled workmanship and courteous service. Honest, dependable and reliable, you can TRUST the experienced professionals at Jersey Roofing LLC. We want you to know that we take your project seriously and we will work hard to build a lasting relationship. Call us to schedule a FREE estimate.  Financing available.","Award
President's Club Award; President's Club Award
GAF entrusts a select few Master Elite® contractors as President’s Club status, showing excellence in performance, reliability, and service --- signifying a commitment to installing roofing systems that qualify for GAF’s best warranties.","GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1141159,4,Jersey Roofing LLC,(551) 368-0796,369,5,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/garfield/jersey-roofing-llc-1141159,https://jerseyroofingllc.com/,In business since 1995
"Established in 2002, Donny's Home Improvement is a home improvement company that has built a reputable name for quality workmanship and superior services.

Licensed and insured, you can trust our highly skilled specialists will provide you with top-notch results and a worry-free experience. Based in the state of NJ, our locally owned and operated business will cater to your needs, giving you personalized care as our valued client. With us, you can rest assured that the job will be done with skill and precision. We are detail-oriented, responsible, honest, prompt and affordable.

We also offer various roofing options to suit your budget and style preferences, including asphalt shingles, metal roofing, and rubber roofing.

If you have a property in need of professional home improvement services, contact us today. We will provide a clear and timely estimate and get the job done quickly. Donny's Home Improvement is your reliable service in the state of New Jersey with affordable rates and discounts for qualified buyers and veterans. Call us today.","Award
President's Club Award; President's Club Award
GAF entrusts a select few Master Elite® contractors as President’s Club status, showing excellence in performance, reliability, and service --- signifying a commitment to installing roofing systems that qualify for GAF’s best warranties.","GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1139561,5,Donny's Home Improvement,(973) 381-3099,80,5,3,13VH12121100,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/elmwood-park/donnys-home-improvement-1139561,https://www.donnysroofing.com/,In business since 2002
"Here at Blue Nail Exteriors, we make transforming your home effortless with our exceptional craftsmanship and attention to detail. Our fully staffed team and dedicated office are here to support you every step of the way—from the first call to the last nail. With our guidance, you'll feel informed, confident, and ready to protect and enhance your home for the next 30 years.

Contact us today for your free estimate!","Award
President's Club Award; President's Club Award
GAF entrusts a select few Master Elite® contractors as President’s Club status, showing excellence in performance, reliability, and service --- signifying a commitment to installing roofing systems that qualify for GAF’s best warranties.","GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1113999,6,Blue Nail Exteriors,(908) 728-6750,283,4.9,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/montville/blue-nail-exteriors-1113999,https://bluenailnj.com/,In business since 2016
"Family owned and operated since 1974.  Roofing is our only business. No deposit, no payment due until your project is completed. Financing available.","Award
President's Club Award; President's Club Award
GAF entrusts a select few Master Elite® contractors as President’s Club status, showing excellence in performance, reliability, and service --- signifying a commitment to installing roofing systems that qualify for GAF’s best warranties.","GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1001655,7,The Great American Roofing Company,(201) 831-7530,135,4.9,3,13VH04492500,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/ramsey/the-great-american-roofing-company-1001655,https://www.thegreatamericanroofer.com/,
"Quality workmanship at a price you can afford, American Roofing is your trusted Roofing company!  We specialize is residential roofing, siding and windows and most  jobs are completed in one day.  We are fully insured and have received countless service awards, including BBB, Angie's List and Master Elite.","Award
President's Club Award; President's Club Award
GAF entrusts a select few Master Elite® contractors as President’s Club status, showing excellence in performance, reliability, and service --- signifying a commitment to installing roofing systems that qualify for GAF’s best warranties.","GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1005677,8,American Roofing and Siding,(862) 660-9850,114,4.9,3,13VH00686300,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/nutley/american-roofing-and-siding-1005677,https://americanroofingandsiding.com/,
"Serving our community for over 45 years .We have installed over 12,000 complete roofs in NASSAU AND SUFFOLK COUNTIES.WE HAVE WON THE ANGIES' LIST SUPER SERVICE AWARD every year since 2008. I treat all my customers the way my wife expects to be treated","Award
President's Club Award; President's Club Award
GAF entrusts a select few Master Elite® contractors as President’s Club status, showing excellence in performance, reliability, and service --- signifying a commitment to installing roofing systems that qualify for GAF’s best warranties.","GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1003844,9,John Goess Roofing Inc,(934) 300-7686,53,4.9,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/westbury/john-goess-roofing-inc-1003844,https://www.johngoessroofing.com/,
