name,address,city,state,zip,phone,website,distance,certifications,rating,review_count,search_zip_code,search_distance
US Roofing & Siding Inc,,Matawan,NJ,,(609) 657-4366,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/matawan/us-roofing-siding-inc-1141909,24.5 mi,['GAF Master Elite®'],5.0,54,10013,25
Matute Roofing,,Wayne,NJ,,(862) 529-5991,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/wayne/matute-roofing-1113654,17.9 mi,"[""President's Club Award"", 'GAF Master Elite®']",5.0,417,10013,25
Preferred Exterior Corp,,New Hyde Park,NY,,(516) 549-5326,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/new-hyde-park/preferred-exterior-corp-1004859,16.8 mi,"[""President's Club Award"", 'GAF Master Elite®']",5.0,47,10013,25
Allied Brothers Home Corporation,,Wayne,NJ,,(973) 566-3007,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/wayne/allied-brothers-home-corporation-1116285,19.3 mi,"[""President's Club Award"", 'GAF Master Elite®']",4.9,191,10013,25
Jersey Roofing LLC,,Garfield,NJ,,(551) 368-0240,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/garfield/jersey-roofing-llc-1141159,12.1 mi,"[""President's Club Award"", 'GAF Master Elite®']",5.0,369,10013,25
Donny's Home Improvement,,Elmwood Park,NJ,,(862) 387-6498,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/elmwood-park/donnys-home-improvement-1139561,15.1 mi,"[""President's Club Award"", 'GAF Master Elite®']",5.0,81,10013,25
Blue Nail Exteriors,,Montville,NJ,,(201) 645-2661,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/montville/blue-nail-exteriors-1113999,22.4 mi,"[""President's Club Award"", 'GAF Master Elite®']",4.9,283,10013,25
The Great American Roofing Company,,Ramsey,NJ,,(201) 831-7530,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/ramsey/the-great-american-roofing-company-1001655,24.4 mi,"[""President's Club Award"", 'GAF Master Elite®']",4.9,135,10013,25
American Roofing and Siding,,Nutley,NJ,,(862) 660-9850,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/nutley/american-roofing-and-siding-1005677,11.7 mi,"[""President's Club Award"", 'GAF Master Elite®']",4.9,114,10013,25
John Goess Roofing Inc,,Westbury,NY,,(934) 300-7686,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/westbury/john-goess-roofing-inc-1003844,22.8 mi,"[""President's Club Award"", 'GAF Master Elite®']",4.9,53,10013,25
Grapevine Pro,,Iselin,NJ,,(732) 335-7770,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/iselin/grapevine-pro-1130919,20.3 mi,"[""President's Club Award"", 'GAF Master Elite®']",4.8,367,10013,25
Brothers Aluminum Home Improvements Corp,,Valley Stream,NY,,(516) 872-0947,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/valley-stream/brothers-aluminum-home-improvements-corp-1100696,16.1 mi,"[""President's Club Award"", 'GAF Master Elite®']",4.8,282,10013,25
AK Gatsios Inc,,Bronx,NY,,(646) 302-5175,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/bronx/ak-gatsios-inc-1101267,12.1 mi,['GAF Master Elite®'],5.0,310,10013,25
Complete Roof Systems,,Dumont,NJ,,(201) 387-1846,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/dumont/complete-roof-systems-1002688,15.1 mi,['GAF Master Elite®'],5.0,307,10013,25
American Home Contractors Inc,,Florham Park,NJ,,(908) 771-0123,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/florham-park/american-home-contractors-inc-1005149,20.5 mi,['GAF Master Elite®'],5.0,243,10013,25
RH Renovation LLC,,Bronx,NY,,(646) 818-4305,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/bronx/rh-renovation-llc-1143942,11.6 mi,['GAF Master Elite®'],5.0,228,10013,25
B&B Contracting Corp,,Staten Island,NY,,(718) 981-7663,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/staten-island/bb-contracting-corp-1116738,9.7 mi,['GAF Master Elite®'],5.0,211,10013,25
MNT Roofing & Siding,,Totowa,NJ,,(973) 758-7077,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/totowa/mnt-roofing-siding-1107024,17.9 mi,['GAF Master Elite®'],5.0,115,10013,25
Golden Key Construction Group Inc,,Staten Island,NY,,(929) 353-9227,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/staten-island/golden-key-construction-group-inc-1143894,10.7 mi,['GAF Master Elite®'],5.0,90,10013,25
Hammer Exteriors LLC,,South Plainfield,NJ,,(973) 442-6637,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/south-plainfield/hammer-exteriors-llc-1124727,23.3 mi,['GAF Master Elite®'],5.0,82,10013,25
Future Remodeling,,Bergenfield,NJ,,(201) 371-5515,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/bergenfield/future-remodeling-1148691,13.8 mi,['GAF Master Elite®'],5.0,73,10013,25
Reisch Roofing and Construction LLC,,Pompton Plains,NJ,,(855) 734-7241,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/pompton-plains/reisch-roofing-and-construction-llc-1118403,23.7 mi,['GAF Master Elite®'],5.0,70,10013,25
All Professional Remodeling Group LLC,,Cedar Grove,NJ,,(973) 857-9449,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/cedar-grove/all-professional-remodeling-group-llc-1001104,15.1 mi,['GAF Master Elite®'],5.0,43,10013,25
NYC General Pro Roofing Inc,,Brooklyn,NY,,(718) 676-7987,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/brooklyn/nyc-general-pro-roofing-inc-1125170,5.4 mi,['GAF Master Elite®'],5.0,35,10013,25
Kelly Exteriors,,Emerson,NJ,,(201) 977-1076,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/emerson/kelly-exteriors-1104793,17.6 mi,['GAF Master Elite®'],5.0,29,10013,25
McLeod Brothers Inc,,New Rochelle,NY,,(914) 636-3404,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/new-rochelle/mcleod-brothers-inc-1000796,17.1 mi,['GAF Master Elite®'],5.0,21,10013,25
ARM Roofing,,Elmsford,NY,,(914) 347-2763,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/elmsford/arm-roofing-1000079,24.7 mi,['GAF Master Elite®'],5.0,8,10013,25
All Site Roofing,,Franklin Square,NY,,(516) 816-8174,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/franklin-square/all-site-roofing-1124078,16.6 mi,['GAF Master Elite®'],5.0,7,10013,25
All Seasons Roofing LLC,,Staten Island,NY,,(718) 200-1802,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/staten-island/all-seasons-roofing-llc-1135593,15.5 mi,['GAF Master Elite®'],5.0,5,10013,25
A&S Construction & Son Inc,,Brooklyn,NY,,(347) 326-4098,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/brooklyn/as-construction-son-inc-1120367,6.5 mi,['GAF Master Elite®'],5.0,1,10013,25
GC Dynatech Construction LLC,,South Amboy,NJ,,(732) 688-7562,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/south-amboy/gc-dynatech-construction-llc-1004105,23.0 mi,['GAF Master Elite®'],5.0,1,10013,25
VMG Group,,Roselle,NJ,,(973) 345-1600,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/roselle/vmg-group-63229,15.7 mi,['GAF Master Elite®'],5.0,1,10013,25
Long Island Roofing and Repairs Service,,North Bellmore,NY,,(516) 221-9100,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/north-bellmore/long-island-roofing-and-repairs-service-1005906,24.0 mi,['GAF Master Elite®'],4.9,334,10013,25
R&G Services Corp,,Orange,NJ,,(973) 324-9461,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/orange/rg-services-corp-1004426,13.7 mi,['GAF Master Elite®'],4.9,249,10013,25
The Carpenter's Touch LLC,,Livingston,NJ,,(973) 994-1085,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/livingston/the-carpenters-touch-llc-1100484,17.7 mi,['GAF Master Elite®'],4.9,156,10013,25
Above & Beyond Exterior Remodelers,,Fords,NJ,,(732) 322-8482,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/fords/above-beyond-exterior-remodelers-1100365,21.0 mi,['GAF Master Elite®'],4.9,129,10013,25
CKG Contractors Inc,,Parsippany,NJ,,(973) 599-0811,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/parsippany/ckg-contractors-inc-1003499,24.5 mi,['GAF Master Elite®'],4.9,129,10013,25
HK Builders Corp,,Flushing,NY,,(718) 479-8888,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/flushing/hk-builders-corp-1137852,11.5 mi,['GAF Master Elite®'],4.9,113,10013,25
Lojas Home Improvement Plus LLC,,Union,NJ,,(973) 757-3958,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/union/lojas-home-improvement-plus-llc-1119370,15.3 mi,['GAF Master Elite®'],4.9,91,10013,25
One Call Construction,,Hawthorne,NJ,,(800) 747-0283,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/hawthorne/one-call-construction-1112309,18.7 mi,['GAF Master Elite®'],4.9,89,10013,25
American Quality Home Improvements LLC,,Belleville,NJ,,(888) 205-1925,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/belleville/american-quality-home-improvements-llc-1108705,9.3 mi,['GAF Master Elite®'],4.9,73,10013,25
American Star Contractor Corp,,Bronx,NY,,(862) 294-9990,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/bronx/american-star-contractor-corp-1121148,11.5 mi,['GAF Master Elite®'],4.9,64,10013,25
LGM Roofing Contractor,,Bloomfield,NJ,,(973) 707-2154,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/bloomfield/lgm-roofing-contractor-1112549,11.5 mi,['GAF Master Elite®'],4.9,64,10013,25
RK Roofing Inc,,Caldwell,NJ,,(973) 226-2605,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/caldwell/rk-roofing-inc-1002346,16.8 mi,['GAF Master Elite®'],4.9,39,10013,25
B&W Group Inc,,Montvale,NJ,,(914) 403-6752,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/montvale/bw-group-inc-1003008,23.5 mi,['GAF Master Elite®'],4.9,37,10013,25
MK Best Roofing,,Roosevelt,NY,,(631) 645-2710,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/roosevelt/mk-best-roofing-1139996,21.5 mi,['GAF Master Elite®'],4.9,36,10013,25
Prodigy Contracting Inc,,Franklin Square,NY,,(631) 767-2520,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/franklin-square/prodigy-contracting-inc-1103991,16.5 mi,['GAF Master Elite®'],4.9,36,10013,25
Rebuild America,,Mineola,NY,,(516) 535-9293,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/mineola/rebuild-america-1002371,19.0 mi,['GAF Master Elite®'],4.9,29,10013,25
A Real Advantage Inc,,Jamaica,NY,,(718) 767-6950,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/jamaica/a-real-advantage-inc-1002963,12.5 mi,['GAF Master Elite®'],4.9,23,10013,25
